Year,Month,Total_Investment,Unique_Startups,Revenue,Expenses,New_Customers,Marketing_Spend,CAC,Revenue_per_Customer,LTV,Burn_Rate,LTV_CAC_Ratio
2015.0,1.0,369321768.0,36,221593060.79999998,258525237.6,3600,25852523.76,7181.256600000001,61553.628,738643.536,36932176.80000001,102.85714285714285
2015.0,2.0,394262600.0,42,236557560.0,275983820.0,4200,27598382.0,6571.043333333333,56323.22857142857,675878.7428571428,39426260.0,102.85714285714286
2015.0,3.0,463327000.0,47,277996200.0,324328900.0,4700,32432890.0,6900.614893617021,59148.12765957447,709777.5319148937,46332700.0,102.85714285714286
2015.0,4.0,980500000.0,51,588300000.0,686350000.0,5100,68635000.0,13457.843137254902,115352.94117647059,1384235.294117647,98050000.0,102.85714285714285
2015.0,5.0,324185000.0,43,194511000.0,226929500.0,4300,22692950.0,5277.430232558139,45235.11627906977,542821.3953488372,32418500.0,102.85714285714288
2015.0,6.0,536994000.0,58,322196400.0,375895800.0,5800,37589580.0,6480.962068965518,55551.10344827586,666613.2413793104,53699400.0,102.85714285714286
2015.0,7.0,1534192000.0,62,920515200.0,1073934400.0,6200,107393440.0,17321.52258064516,148470.1935483871,1781642.322580645,153419200.0,102.85714285714286
2015.0,8.0,1063816000.0,65,638289600.0,744671200.0,6500,74467120.0,11456.48,98198.4,1178380.7999999998,106381600.0,102.85714285714285
2015.0,9.0,1470520000.0,60,882312000.0,1029363999.9999999,6000,102936400.0,17156.066666666666,147052.0,1764624.0,147051999.99999988,102.85714285714286
2015.0,10.0,254961000.0,59,152976600.0,178472700.0,5900,17847270.0,3024.9610169491525,25928.237288135595,311138.8474576271,25496100.0,102.85714285714286
2015.0,11.0,899275000.0,62,539565000.0,629492500.0,6200,62949250.0,10153.104838709678,87026.6129032258,1044319.3548387096,89927500.0,102.85714285714285
2015.0,12.0,305853000.0,54,183511800.0,214097100.0,5400,21409710.0,3964.761111111111,33983.666666666664,407804.0,30585300.0,102.85714285714286
2016.0,1.0,699880000.0,56,419928000.0,489915999.99999994,5600,48991600.0,8748.5,74987.14285714286,899845.7142857143,69987999.99999994,102.85714285714286
2016.0,2.0,331513000.0,57,198907800.0,232059100.0,5700,23205910.0,4071.2122807017545,34896.10526315789,418753.2631578947,33151300.0,102.85714285714285
2016.0,3.0,309561608.0,52,185736964.79999998,216693125.6,5200,21669312.560000002,4167.175492307692,35718.64707692307,428623.76492307684,30956160.800000012,102.85714285714283
2016.0,4.0,253940000.0,38,152364000.0,177758000.0,3800,17775800.0,4677.8421052631575,40095.78947368421,481149.47368421056,25394000.0,102.85714285714288
2016.0,5.0,339840000.0,51,203904000.0,237887999.99999997,5100,23788800.0,4664.470588235294,39981.17647058824,479774.11764705885,33983999.99999997,102.85714285714288
2016.0,6.0,199669000.0,55,119801400.0,139768300.0,5500,13976830.0,2541.241818181818,21782.072727272727,261384.87272727274,19966900.0,102.85714285714288
2016.0,7.0,233547000.0,40,140128200.0,163482900.0,4000,16348290.0,4087.0725,35032.05,420384.60000000003,23354700.0,102.85714285714286
2016.0,8.0,534089000.0,56,320453400.0,373862300.0,5600,37386230.0,6676.1125,57223.82142857143,686685.8571428572,53408900.0,102.85714285714286
2016.0,9.0,241361000.0,44,144816600.0,168952700.0,4400,16895270.0,3839.8340909090907,32912.86363636364,394954.36363636365,24136100.0,102.85714285714286
2016.0,10.0,237448000.0,50,142468800.0,166213600.0,5000,16621360.0,3324.272,28493.76,341925.12,23744800.0,102.85714285714286
2016.0,11.0,259997000.0,45,155998200.0,181997900.0,4500,18199790.0,4044.3977777777777,34666.26666666667,415995.20000000007,25999700.0,102.85714285714288
2016.0,12.0,187243000.0,41,112345800.0,131070099.99999999,4100,13107010.0,3196.8317073170733,27401.414634146342,328816.9756097561,18724299.999999985,102.85714285714285
2017.0,1.0,253233500.0,41,151940100.0,177263450.0,4100,17726345.0,4323.498780487805,37058.560975609755,444702.73170731706,25323350.0,102.85714285714286
2017.0,2.0,294959000.0,35,176975400.0,206471300.0,3500,20647130.0,5899.18,50564.4,606772.8,29495900.0,102.85714285714286
2017.0,3.0,2264281000.0,48,1358568600.0,1584996700.0,4800,158499670.0,33020.76458333333,283035.125,3396421.5,226428100.0,102.85714285714286
2017.0,4.0,732395000.0,47,439437000.0,512676499.99999994,4700,51267650.0,10908.010638297872,93497.23404255319,1121966.8085106383,73239499.99999994,102.85714285714286
2017.0,5.0,1786669000.0,38,1072001400.0,1250668300.0,3800,125066830.0,32912.323684210525,282105.63157894736,3385267.578947368,178666900.0,102.85714285714285
2017.0,6.0,344818000.0,48,206890800.0,241372599.99999997,4800,24137260.0,5028.595833333334,43102.25,517227.0,34481799.99999997,102.85714285714285
2017.0,7.0,167704000.0,25,100622400.0,117392800.0,2500,11739280.0,4695.712,40248.96,482987.52,16770400.0,102.85714285714285
2017.0,8.0,2748139000.0,26,1648883400.0,1923697299.9999998,2600,192369730.0,73988.35769230769,634185.9230769231,7610231.076923078,274813899.99999976,102.85714285714288
2017.0,9.0,536502000.0,37,321901200.0,375551400.0,3700,37555140.0,10150.037837837837,87000.32432432432,1044003.8918918918,53650200.0,102.85714285714286
2017.0,10.0,400387000.0,40,240232200.0,280270900.0,4000,28027090.0,7006.7725,60058.05,720696.6000000001,40038700.0,102.85714285714288
2017.0,11.0,615802230.0,33,369481338.0,431061561.0,3300,43106156.1,13062.471545454546,111964.04181818182,1343568.501818182,61580223.0,102.85714285714286
2017.0,12.0,284420000.0,35,170652000.0,199094000.0,3500,19909400.0,5688.4,48757.71428571428,585092.5714285714,28442000.0,102.85714285714285
2018.0,1.0,347374600.0,32,208424760.0,243162219.99999997,3200,24316222.0,7598.819375,65132.7375,781592.8500000001,34737459.99999997,102.85714285714288
2018.0,2.0,1211217223.0,34,726730333.8,847852056.0999999,3400,84785205.61,24936.825179411764,213744.2158235294,2564930.589882353,121121722.29999995,102.85714285714286
2018.0,3.0,291953000.0,29,175171800.0,204367100.0,2900,20436710.0,7047.141379310345,60404.06896551724,724848.8275862068,29195300.0,102.85714285714285
2018.0,4.0,198077740.0,26,118846644.0,138654418.0,2600,13865441.8,5332.862230769231,45710.24769230769,548522.9723076923,19807774.0,102.85714285714285
2018.0,5.0,105887000.0,22,63532200.0,74120900.0,2200,7412090.0,3369.1318181818183,28878.272727272728,346539.2727272727,10588700.0,102.85714285714285
2018.0,6.0,391475000.0,25,234885000.0,274032500.0,2500,27403250.0,10961.3,93954.0,1127448.0,39147500.0,102.85714285714286
2018.0,7.0,551978000.0,31,331186800.0,386384600.0,3100,38638460.0,12464.01935483871,106834.45161290323,1282013.4193548388,55197800.0,102.85714285714286
2018.0,8.0,809354811.0,24,485612886.59999996,566548367.6999999,2400,56654836.769999996,23606.181987499996,202338.70275,2428064.433,80935481.09999996,102.85714285714288
2018.0,9.0,601090000.0,11,360654000.0,420763000.0,1100,42076300.0,38251.181818181816,327867.2727272727,3934407.2727272725,60109000.0,102.85714285714286
2018.0,10.0,52880000.0,6,31728000.0,37016000.0,600,3701600.0,6169.333333333333,52880.0,634560.0,5288000.0,102.85714285714286
2018.0,11.0,497115995.0,17,298269597.0,347981196.5,1700,34798119.65,20469.48214705882,175452.70411764705,2105432.4494117647,49711599.5,102.85714285714288
2018.0,12.0,57715000.0,7,34629000.0,40400500.0,700,4040050.0,5771.5,49470.0,593640.0,5771500.0,102.85714285714286
2019.0,1.0,137000000.0,3,82200000.0,95900000.0,300,9590000.0,31966.666666666668,274000.0,3288000.0,13700000.0,102.85714285714285
2019.0,2.0,226600000.0,2,135960000.0,158620000.0,200,15862000.0,79310.0,679800.0,8157600.0,22660000.0,102.85714285714286
2019.0,4.0,115793355.0,13,69476013.0,81055348.5,1300,8105534.850000001,6235.0268076923085,53443.086923076924,641317.0430769231,11579335.5,102.85714285714285
2019.0,5.0,408968600.0,7,245381160.0,286278020.0,700,28627802.0,40896.86,350544.5142857143,4206534.171428571,40896860.0,102.85714285714286
2019.0,6.0,297152710.21999997,15,178291626.13199997,208006897.15399995,1500,20800689.715399995,13867.12647693333,118861.08408799997,1426333.0090559996,29715271.021999985,102.85714285714285
2019.0,7.0,296794605.0,13,178076763.0,207756223.5,1300,20775622.35,15981.247961538462,136982.12538461538,1643785.5046153846,29679460.5,102.85714285714286
2019.0,8.0,4531770000.0,16,2719062000.0,3172239000.0,1600,317223900.0,198264.9375,1699413.75,20392965.0,453177000.0,102.85714285714286
2019.0,9.0,502800000.0,9,301680000.0,351960000.0,900,35196000.0,39106.666666666664,335200.0,4022400.0,50280000.0,102.85714285714286
2019.0,10.0,630000000.0,2,378000000.0,441000000.0,200,44100000.0,220500.0,1890000.0,22680000.0,63000000.0,102.85714285714286
2019.0,11.0,2062797265.0,14,1237678359.0,1443958085.5,1400,144395808.55,103139.86325000001,884055.9707142857,10608671.648571428,206279726.5,102.85714285714285
2019.0,12.0,476900000.0,10,286140000.0,333830000.0,1000,33383000.0,33383.0,286140.0,3433680.0,47690000.0,102.85714285714286
2020.0,1.0,390207254.0,7,234124352.4,273145077.8,700,27314507.78,39020.7254,334463.36057142855,4013560.3268571426,39020725.400000006,102.85714285714285
